Title,Price,Link,Image,Availability,ID,CPU Brand,CPU Model,CPU Cores,CPU Frequency,CPU Cache,RAM Size,RAM Type,Storage Size,Storage Type,Storage Unit,GPU Brand,GPU Model,GPU Memory
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go 500Go SSD - Noir,"1 359,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-16go-500g-ssd-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-5-16go-500g-ssd-noir-60.jpg,Epuisé,[APU-8500G],AMD,ryzen 5 8500g,6,5,16,Unknown,ddr5,500,ssd,gb,amd,radeon 740m,Unknown
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go 500Go SSD - Noir,"1 469,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-16g-500go-ssd-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-5-16g-500go-ssd-noir-60.jpg,Sur commande 48h,[APU-8600G],AMD,ryzen 5 8600g,6,5.0,16,Unknown,ddr5,500,ssd,gb,amd,radeon 760m,Unknown
Pc de Bureau Gamer MYTEK AMD RYZEN 5 32G 500G SSD - Noir,"1 469,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-32g-500g-ssd-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-5-32g-500g-ssd-noir-60.jpg,En stock,[APU-8500G-32G],AMD,ryzen 5 8500g,6,5,16,Unknown,ddr5,500,ssd,gb,amd,radeon 740m,Unknown
Pc de Bureau Gamer MYTEK i3 10è Gén 8Go RTX 3050 6Go,"1 479,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i3-10e-gen-8go-zotac-rtx-3050-lp-6go.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i3-10e-gen-8go-zotac-rtx-3050-lp-6go-60.jpg,Sur commande 48h,[OBILEX-10100-6G3050],Intel,i3-10100f,4,Unknown,6,Unknown,ddr4,500,ssd,gb,Unknown,rtx 3050,Unknown
Pc de Bureau Gamer MYTEK AMD RYZEN 5 8Go RTX 3050 6Go,"1 499,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-8go-zotac-rtx-3050-lp-6go.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-5-8go-zotac-rtx-3050-lp-6go-60.jpg,En stock,[OBILEX-4500-6G3050],AMD,ryzen 5 4500 3,6,4.1,8,Unknown,ddr4,500,ssd,gb,Unknown,rtx 3050,6
Pc de Bureau Gamer MYTEK i3 10è Gén 16G MSI RTX 3050 VENTUS 2X 6G OC,"1 519,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i3-10e-gen-16g-msi-rtx-3050-ventus-2x-6g-oc.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i3-10e-gen-16g-msi-rtx-3050-ventus-2x-6g-oc-60.jpg,Sur commande 48h,[HUNTER-10100-6G3050],Intel,i3-10100f,4,Unknown,6,Unknown,ddr4,500,ssd,gb,Unknown,rtx 3050,Unknown
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16G RTX 3050 6Go,"1 529,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-16g-msi-rtx-3050-ventus-2x-6g-oc.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-5-16g-msi-rtx-3050-ventus-2x-6g-oc-70.jpg,En stock,[HUNTER-4500-6G3050],AMD,ryzen 5 4500 3,6,4.1,8,Unknown,ddr4,512,ssd,gb,Unknown,rtx 3050,6
Pc de Bureau Gamer MYTEK i3 10è Gén 16Go RTX 3050 6Go,"1 529,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i3-10e-gen-16go-zotac-rtx-3050-lp-6go.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i3-10e-gen-16go-zotac-rtx-3050-lp-6go-60.jpg,Sur commande 48h,[OBILEX-10100-6G3050-16G],Intel,i3-10100f,4,Unknown,6,Unknown,ddr4,500,ssd,gb,Unknown,rtx 3050,Unknown
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go RTX 3050 6Go,"1 549,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-16go-zotac-rtx-3050-lp-6go.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-5-16go-zotac-rtx-3050-lp-6go-60.jpg,Sur commande 48h,[OBILEX-4500-6G3050-16G],AMD,ryzen 5 4500 3,6,4.1,8,Unknown,ddr4,500,ssd,gb,Unknown,rtx 3050,6
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go MSI RTX 3050 VENTUS 2X 6G OC,"1 569,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-16go-msi-rtx-3050-ventus-2x-6g-oc.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc_de_bureau_gamer_mytek_amd_ryzen_5_16go_msi_rtx_3050_ventus_2x_6g_oc.jpg,Sur commande 48h,[HUNTER-3600-6G3050],AMD,ryzen 5 3600 3,6,Unknown,32,Unknown,ddr4,500,ssd,gb,Unknown,rtx 3050,Unknown
