Title,Price,Link,Image,Availability,ID
Clavier Semi Mécanique SOG Pro K1 RGB 3 Modes,"38,000 TND",https://www.scoopgaming.com.tn/13781-clavier-semi-mecanique-sog-pro-k1-rgb-3-modes.html,https://www.scoopgaming.com.tn/19945-home_default/clavier-semi-mecanique-sog-pro-k1-rgb-3-modes.jpg,Disponible,"REF: CLA-PK1FR     38,000 TND"
Clavier ADVANCE semi mechanical GTA 230 RGB,"43,999 TND",https://www.scoopgaming.com.tn/12132-clavier-advance-semi-mechanical-gta-230-rgb.html,https://www.scoopgaming.com.tn/11556-home_default/clavier-advance-semi-mechanical-gta-230-rgb.jpg,Disponible,"REF: CLA-GTA230     43,999 TND"
CLAVIER GAMING ADVANCE RGB SEMI-MECANIQUE GTA250,"49,000 TND",https://www.scoopgaming.com.tn/12202-clavier-gaming-advance-rgb-semi-mecanique-gta250.html,https://www.scoopgaming.com.tn/11863-home_default/clavier-gaming-advance-rgb-semi-mecanique-gta250.jpg,Disponible,"REF: CLA-GTA250     49,000 TND"
CLAVIER SEMI MECANIQUE SLIM RGB METAL PRO-K7,"62,000 TND",https://www.scoopgaming.com.tn/12201-clavier-semi-mecanique-slim-rgb-metal-pro-k7.html,https://www.scoopgaming.com.tn/11861-home_default/clavier-semi-mecanique-slim-rgb-metal-pro-k7.jpg,Disponible,"REF: CLA-PK7     62,000 TND"
Clavier Gaming SEMI MECANIQUE RGB ELITE-K40 -Châssis Aluminium,"68,000 TND",https://www.scoopgaming.com.tn/13291-clavier-gaming-semi-mecanique-rgb-elite-k40-chassis-aluminium.html,https://www.scoopgaming.com.tn/17120-home_default/clavier-gaming-semi-mecanique-rgb-elite-k40-chassis-aluminium.jpg,Disponible,"REF: CLA-EK40     68,000 TND"
Pack Clavier & souris Sans Fil - Advance SLIM COMPACT -,"77,000 TND",https://www.scoopgaming.com.tn/9869-pack-clavier-souris-sans-fil-advance-slim-compact-.html,https://www.scoopgaming.com.tn/21918-home_default/pack-clavier-souris-sans-fil-advance-slim-compact-.jpg,Disponible,"REF: CLS-SLIM-BK     77,000 TND"
"Clavier Gamer SOG - SEMI Mécanique sans fil ELITE-K50, RGB BLACK","78,000 TND",https://www.scoopgaming.com.tn/13937-clavier-gamer-sog-semi-mecanique-sans-fil-elite-k50-rgb-black.html,https://www.scoopgaming.com.tn/20833-home_default/clavier-gamer-sog-semi-mecanique-sans-fil-elite-k50-rgb-black.jpg,Disponible,"REF: CLA-EK50RF     78,000 TND"
"Clavier mécanique spirit of gamer XPERT-K150, 100% anti-ghosting","80,000 TND",https://www.scoopgaming.com.tn/13991-clavier-mecanique-spirit-of-gamer-xpert-k150-100-anti-ghosting.html,https://www.scoopgaming.com.tn/21373-home_default/clavier-mecanique-spirit-of-gamer-xpert-k150-100-anti-ghosting.jpg,Disponible,"REF: CLA-XK150BK     80,000 TND"
"Pack Gaming Spirit of gamer PRO-MK5, clavier, souris et tapis","89,000 TND",https://www.scoopgaming.com.tn/12540-pack-gaming-spirit-of-gamer-pro-mk5-clavier-souris-et-tapis.html,https://www.scoopgaming.com.tn/13582-home_default/pack-gaming-spirit-of-gamer-pro-mk5-clavier-souris-et-tapis.jpg,Disponible,"REF: CLS-PMK5     89,000 TND"
Clavier semi-mécanique sans fil spirit of gamer ELITE-K70 TKL - Noir,"93,000 TND",https://www.scoopgaming.com.tn/13994-clavier-semi-mecanique-sans-fil-spirit-of-gamer-elite-k70-tkl-noir.html,https://www.scoopgaming.com.tn/21393-home_default/clavier-semi-mecanique-sans-fil-spirit-of-gamer-elite-k70-tkl-noir.jpg,Disponible,"REF: CLA-EK70RF     93,000 TND"
"Pack Gamer SOG ULTIMATE 600 ARTIC, Filaire, Clavier Semi Mécanique + Souris , RGB, Blanc","90,000 TND",https://www.scoopgaming.com.tn/13967-pack-gamer-sog-ultimate-600-artic-filaire-clavier-semi-mecanique-souris-rgb-blanc.html,https://www.scoopgaming.com.tn/21141-home_default/pack-gamer-sog-ultimate-600-artic-filaire-clavier-semi-mecanique-souris-rgb-blanc.jpg,Disponible,"REF: CLS-MK600WT     90,000 TND"
Clavier mécanique spirit of gamer XPERT-K250 - Black,"94,000 TND",https://www.scoopgaming.com.tn/13990-clavier-mecanique-spirit-of-gamer-xpert-k250-black.html,https://www.scoopgaming.com.tn/21358-home_default/clavier-mecanique-spirit-of-gamer-xpert-k250-black.jpg,Disponible,"REF: CLA-XK250BK     94,000 TND"
