Title,Price,Link,Image,Availability,ID,Brand,Size,Resolution,Refresh Rate,Response Time,Contrast,Brightness,Viewing Angle,Curvature,Connectors,Audio Ports,Flicker Free,Blue Light Filter,Adaptive Sync,Panel Type
"Ecran Asus VP229HF Eye Care, 100Hz, 1ms, 22"" FHD","249,000 TND",https://www.scoopgaming.com.tn/14166-ecran-asus-vp229hf-eye-care-100hz-1ms-22-fhd.html,https://www.scoopgaming.com.tn/22918-home_default/ecran-asus-vp229hf-eye-care-100hz-1ms-22-fhd.jpg,Disponible,90LM06B0-B05B70,"asus vp229 hf 22""",22,,100,1,1000:1,250,Unknown,Unknown,['hdmi'],No,No,No,No,ips
"Ecran pc Aiwa MF2550, 27"" @ 100Hz FHD","349,000 TND",https://www.scoopgaming.com.tn/14110-ecran-pc-aiwa-mf2550-27-100hz-fhd.html,https://www.scoopgaming.com.tn/22407-home_default/ecran-pc-aiwa-mf2550-27-100hz-fhd.jpg,Hors stock,MF2550,aiwa mf2550,27,fhd,100,5,Unknown,Unknown,Unknown,Unknown,['hdmi'],No,No,No,No,ips
"Ecran Gaming Incurvé Aiwa MD240K, VA 24"" FHD, 165 Hz, 1ms","389,000 TND",https://www.scoopgaming.com.tn/14048-ecran-gaming-incurve-aiwa-md240k-va-24-fhd-165-hz-1ms.html,https://www.scoopgaming.com.tn/21905-home_default/ecran-gaming-incurve-aiwa-md240k-va-24-fhd-165-hz-1ms.jpg,Hors stock,MD240K-V,incurve aiwa md240k,23.6,,165,1,Unknown,Unknown,Unknown,Unknown,"['displayport', 'hdmi']",No,No,No,No,va
"Ecran pc Aiwa MD2403, IPS 24"" FHD, 180 Hz, 1 ms","379,000 TND",https://www.scoopgaming.com.tn/14038-ecran-pc-aiwa-md2403-ips-24-fhd-180-hz-1-ms.html,https://www.scoopgaming.com.tn/21847-home_default/ecran-pc-aiwa-md2403-ips-24-fhd-180-hz-1-ms.jpg,Hors stock,MD2403,aiwa md2403,24,,180,1,3000:1,220,178°h / 178°v,Unknown,"['audio', 'displayport', 'hdmi', 'usb type-c']",Yes,No,No,No,ips
"Ecran Gamer iiyama Black Hawk G-MASTER G2445HSU-B1 24"" FHD, 100Hz, 1ms","359,000 TND",https://www.scoopgaming.com.tn/13921-ecran-gamer-iiyama-black-hawk-g-master-g2445hsu-b1-24-fhd-100hz-1ms.html,https://www.scoopgaming.com.tn/20713-home_default/ecran-gamer-iiyama-black-hawk-g-master-g2445hsu-b1-24-fhd-100hz-1ms.jpg,Hors stock,G2445HSU-B1,iiyama g-master g2445 hsu-b1 black hawk™ ,24,fhd,100,1,1300:1,250,"angles de vision: horizontal / vertical 178°, droite / gauche 89°, haut/bas 89°, inclinaison: 22° en avant, 4° en arriere, ports",Unknown,"['displayport', 'hdmi']",No,No,No,No,ips
"Ecran Asus TUF Gaming VG249Q3A, Fast IPS 24"" @180Hz -1 ms","399,000 TND",https://www.scoopgaming.com.tn/13919-ecran-asus-tuf-gaming-vg249q3a-fast-ips-24-180hz-1-ms.html,https://www.scoopgaming.com.tn/20703-home_default/ecran-asus-tuf-gaming-vg249q3a-fast-ips-24-180hz-1-ms.jpg,Disponible,90LM09B0-B01170,"asus tuf gaming vg249q3a 23.8"" fhd",23.8,,180,1,1000:1,Unknown,Unknown,Unknown,"['displayport', 'hdmi']",No,No,No,No,ips
"Ecran Gamer AERO QG25DFA, VA 24.5"" FHD, 240 Hz, 1 ms","439,000 TND",https://www.scoopgaming.com.tn/14033-ecran-gamer-aero-qg25dfa-va-245-fhd-240-hz-1-ms.html,https://www.scoopgaming.com.tn/21815-home_default/ecran-gamer-aero-qg25dfa-va-245-fhd-240-hz-1-ms.jpg,Hors stock,QG25DFA,aero qg25 dfa,24.5,,240,1,3000:1,350,178°h / 178°v,Unknown,"['displayport', 'hdmi']",No,No,No,No,va
"Ecran Gamer DAHUA Curved - LM24-E230C, 180Hz, 24"" FHD","470,000 TND",https://www.scoopgaming.com.tn/14018-ecran-gamer-dahua-curved-lm24-e230c-180hz-1ms-24-fhd.html,https://www.scoopgaming.com.tn/21698-home_default/ecran-gamer-dahua-curved-lm24-e230c-180hz-1ms-24-fhd.jpg,Hors stock,DHI-LM24-E230C,incurve dahua lm24-e230c,23.6,,180,5,3000:1,Unknown,178°h / 178°v,1500r,"['audio', 'displayport', 'hdmi']",Yes,No,No,Yes,va
"Ecran PC Gamer Curved iiyama G-MASTER GC2480HSU-B1 - 24"" FHD, 180Hz","489,000 TND",https://www.scoopgaming.com.tn/14078-ecran-pc-gamer-curved-iiyama-g-master-gc2480hsu-b1-24-fhd-180hz.html,https://www.scoopgaming.com.tn/22151-home_default/ecran-pc-gamer-curved-iiyama-g-master-gc2480hsu-b1-24-fhd-180hz.jpg,Disponible,GC2480HSU-B1,"pc gamer iiyama g-master gc2480 hsu-b1 23.6"" va",23.6,,180,5,3000:1,300,Unknown,1500r,"['displayport', 'hdmi']",No,No,No,No,va
"Ecran Gaming MSI G255F - 24,5"" FHD -180Hz 1ms","479,000 TND",https://www.scoopgaming.com.tn/14046--ecran-gaming-msi-g255f-245-fhd-180hz-1ms.html,https://www.scoopgaming.com.tn/21889-home_default/-ecran-gaming-msi-g255f-245-fhd-180hz-1ms.jpg,Hors stock,9S6-3BC01M-027,msi g255f,24.5,,180,1,1000:1,300,178°h/178°v,Unknown,['Unknown Connectors'],No,No,No,No,ips
