Title,Price,Link,Image,Availability,ID,Brand,Size,Resolution,Refresh Rate,Response Time,Contrast,Brightness,Viewing Angle,Curvature,Connectors,Audio Ports,Flicker Free,Blue Light Filter,Adaptive Sync,Panel Type
"Écran Gamer REDRAGON NEAPOLIS 24"" Full HD VA / 100 Hz / Noir","249,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/78591-ecran-gamer-redragon-neapolis-24-full-hd-va-100-hz-noir.html,https://www.tunisianet.com.tn/390361-home/ecran-gamer-redragon-neapolis-24-full-hd-va-100-hz-noir.jpg,En stock,[BM24V17F100H],"redragon neapolis 24"" - technologie d'affichage: va - resolution: fhd (1920 x 1080) - taux de rafraîchissement: 100 hz - temps de réponse: 5 ms - contraste: 1000:1 - luminosite: 250 cd/m² - angle de vision: 178 degrés - connectivité: hdmi",24,fhd,100 hz,5 ms,1000:1,250 cd/m² ,Unknown Viewing Angle,Unknown,['hdmi'],No,No,No,No,va
"Écran Gamer AERO AE24DFI 24"" Full HD IPS / 120 Hz / Noir","299,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/84840-ecran-gamer-aero-ae24dfi-24-full-hd-ips-120-hz-noir.html,https://www.tunisianet.com.tn/422656-home/ecran-gamer-aero-ae24dfi-24-full-hd-ips-120-hz-noir.jpg,En stock,[AE24DFI],"aero ae24 dfi 24"" - resolution: fhd (1920 x 1080 px) - taux de rafraîchissement: 120 hz - temps de réponse: 1 ms - technologie d’affichage: ips - connectivité: 1x hdmi",24,fhd,120 hz,1 ms,Unknown Contrast,Unknown Brightness,Unknown Viewing Angle,Unknown,"['hdmi', 'displayport']",No,No,No,No,ips
"Écran Gaming Incurvé Redragon PEARL 23.6"" Full HD / 180 Hz / Noir","329,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/76280-ecran-gaming-incurve-redragon-pearl-236-full-hd-180-hz-noir.html,https://www.tunisianet.com.tn/374442-home/ecran-gaming-incurve-redragon-pearl-236-full-hd-180-hz-noir.jpg,En stock,[GM24G3C180],"curved redragon pearl - taille de l'ecran: 23.6"" fhd led - resolution: (1920 x 1080 pixels) - luminosite: 250 cd/m2 - contrast: 3000:1 - taux de rafraîchissement 180 hz - freesync - temps de réponse : 1 ms - 5 modes (standard",23.6,fhd,180 hz,1 ms,3000:1,250 cd/m2 ,Unknown Viewing Angle,Unknown,"['audio', 'hdmi']",No,No,No,No,Unknown Panel Type
"Écran Gaming AERO AE24DFA 24"" Full HD VA / 200 Hz / Noir","329,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/85326-ecran-gaming-aero-ae24dfa-24-full-hd-va-200-hz-noir.html,https://www.tunisianet.com.tn/425358-home/ecran-gaming-aero-ae24dfa-24-full-hd-va-200-hz-noir.jpg,En stock,[AE24DFA],"aero ae24 dfa 23.8"" - resolution : fhd (1920 x 1080 px) - taux de rafraîchissement : 200 hz - temps de réponse : 1 ms - type de dalle : va – contraste 4000:1 – luminosite 300 cd/m² - format : 16:9 – angle de vue 178°/178° - vesa : 100 x 100 mm - connectivité : 1x hdmi",23.8,fhd,200 hz,1 ms,4000:1,Unknown Brightness,178°/178°,Unknown,"['usb type-c', 'hdmi', 'displayport']",No,No,No,No,va
"Écran Gaming Aiwa MF2550 27"" Full HD IPS / 100 Hz / Noir","349,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/85647-ecran-gaming-aiwa-mf2550-27-full-hd-ips-100-hz-noir.html,https://www.tunisianet.com.tn/427631-home/ecran-gaming-aiwa-mf2550-27-full-hd-ips-100-hz-noir.jpg,Sur commande,[MF2550],"aiwa mf2550 27"" - resolution: fhd (1 920 x 1 080) - fréquence de rafraîchissement: 100 hz - type de panneau: ips - temps de réponse: 5 ms - connectique: hdmi",27,fhd,100 hz,5 ms,Unknown Contrast,Unknown Brightness,Unknown Viewing Angle,Unknown,['hdmi'],No,No,No,No,ips
"ECRAN GAMING REDRAGON MEMPHIS 27"" Full HD / IPS 100 HZ","349,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/78590-ecran-gaming-redragon-memphis-27-full-hd-ips-100-hz.html,https://www.tunisianet.com.tn/414769-home/ecran-gaming-redragon-memphis-27-full-hd-ips-100-hz.jpg,En stock,[BM27V9100H],"redragon memphis - taille de l’ecran 27"" - technologie d’affichage ips - resolution fhd (1920 x 1080) - taux de rafraîchissement 100 hz - temps de réponse 5 ms - contraste 1000:1 - angles de vision 178 degrés - connectivité: hdmi",27,fhd,100 hz,5 ms,1000:1,Unknown Brightness,Unknown Viewing Angle,Unknown,['hdmi'],No,No,No,No,ips
"Ecran Gaming Redragon AZUR 23.8"" Full IPS / 180 Hz / Noir","359,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/76281-ecran-gaming-redragon-azur-238-full-ips-180-hz-noir.html,https://www.tunisianet.com.tn/374448-home/ecran-gaming-redragon-azur-238-full-ips-180-hz-noir.jpg,En stock,[GM24X5IPS180],"gamining redragon azur - ecran: 23.8"" fhd led - resolution: (1920 x 1080 pixels) - type de panneau : ips - taux de rafraîchissement 180 hz - temps de réponse : 1 ms - freesync - 5 modes (standard",23.8,fhd,180 hz,1 ms,Unknown Contrast,Unknown Brightness,Unknown Viewing Angle,Unknown,"['audio', 'hdmi', 'displayport']",No,No,No,No,ips
"Écran Gaming Cooler Master GA2701 27"" Full HD IPS / 100 Hz","399,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/75201-ecran-gaming-cooler-master-ga2701-27-full-hd-ips-100-hz.html,https://www.tunisianet.com.tn/368608-home/ecran-gaming-cooler-master-ga2701-27-full-hd-ips-100-hz.jpg,En stock,[GA2701],Unknown Brand,27,fhd,100 hz,1 ms,1000:1,250 nits ,178°/178°,Unknown,['hdmi'],No,No,No,Yes,ips
"Ecran Gaming Curved Redragon AMBER 27"" Led Full HD / 180Hz / NOIR","399,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/76282-ecran-gaming-curved-redragon-amber-27-led-full-hd-180hz-noir-.html,https://www.tunisianet.com.tn/374450-home/ecran-gaming-curved-redragon-amber-27-led-full-hd-180hz-noir-.jpg,En stock,[GM27H10C180],"curved redragon amber - taille de l'ecran: 27"" fhd led - resolution: (1920 x 1080 pixels) - luminosite: 250 cd/m2 - contrast: 3000:1 - taux de rafraîchissement 180 hz - temps de réponse : 1 ms - freesync premium - 5 modes (standard",27,fhd,180 hz,1 ms,3000:1,250 cd/m2 ,Unknown Viewing Angle,Unknown,"['audio', 'hdmi']",No,No,No,No,Unknown Panel Type
"Ecran Gaming Asus VA27EHF / 27"" / 100 Hz","399,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/69543-ecran-gaming-asus-va27ehf-27-100-hz.html,https://www.tunisianet.com.tn/334220-home/ecran-gaming-asus-va27ehf-27-100-hz.jpg,En stock,[VA27EHF],Unknown Brand,27,fhd,100 hz,1 ms,1300:1,Unknown Brightness,Unknown Viewing Angle,Unknown,['hdmi'],No,No,Yes,No,ips
"Écran Gaming Asus TUF VG249Q3A 24"" Full HD IPS / 180 Hz","399,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/69542-ecran-gaming-asus-tuf-vg249q3a-24-full-hd-ips-180-hz.html,https://www.tunisianet.com.tn/334199-home/ecran-gaming-asus-tuf-vg249q3a-24-full-hd-ips-180-hz.jpg,En stock,[VG249Q3A],"asus tuf vg249q3a 24"" fhd - resolution: 1920 x 1080 rétroéclairage - dalle ips : couleurs de qualité supérieure et larges angles de vision - technologie amd freesync premium - taux de rafraîchissement maximal de 180 hz (via displayport) - technologie elmb - temps de réponse : 1 ms - connecteurs : hdmi x 2",24,fhd,180 hz,1 ms,Unknown Contrast,Unknown Brightness,Unknown Viewing Angle,Unknown,"['hdmi', 'displayport']",No,No,No,No,ips
"Écran incurvé Aiwa 27"" Full HD VA / 100 Hz / Noir","409,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/62410-ecran-incurve-aiwa-27-full-hd-va-100-hz-noir.html,https://www.tunisianet.com.tn/291027-home/ecran-incurve-aiwa-27-full-hd-va-100-hz-noir.jpg,En stock,[MF270K-V],Unknown Brand,27,fhd,100 hz,5 ms,Unknown Contrast,Unknown Brightness,Unknown Viewing Angle,Unknown,['hdmi'],No,No,No,No,ips
ECRAN GAMING AERO 24.5'' QG25DFA FULL HD  / 240HZ,"439,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/76966-ecran-gaming-aero-238-em24dfi-full-hd-ips-120hz.html,https://www.tunisianet.com.tn/378568-home/ecran-gaming-aero-238-em24dfi-full-hd-ips-120hz.jpg,En stock,[QG25DFA],Unknown Brand,24.5,fhd,240 hz,1 ms,3000:1,Unknown Brightness,Unknown Viewing Angle,Unknown,"['hdmi', 'displayport']",No,No,No,No,va
"Ecran LG 27"" IPS Full HD / 100HZ","459,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/79001-moniteur-ips-lg-full-hd-27-.html,https://www.tunisianet.com.tn/392780-home/moniteur-ips-lg-full-hd-27-.jpg,Sur commande,[27MS550],"ips 27"" fhd - resolution 1920x1080 - taux de rafraîchissement de 100 hz - format de l'image 16:9 - luminosite 250 cd/m² - taux de contraste 1000:1 - temps de réponse 5 ms (gtg à plus rapide) - angle de vision 178º(d/g)",27,fhd,100 hz,5 ms,1000:1,Unknown Brightness,Unknown Viewing Angle,Unknown,['hdmi'],No,No,No,No,ips
