Title,Price,Link,Image,Availability,ID,CPU Brand,CPU Model,CPU Cores,CPU Frequency,CPU Cache,RAM Size,RAM Type,Storage Size,Storage Type,Storage Unit,GPU Brand,GPU Model,GPU Memory
Pc de bureau Gamer LITE / Ryzen 3 3200G / Vega 8 / 8 Go,"569,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86642-pc-de-bureau-gamer-lite-ryzen-3-3200g-vega-8-8-go.html,https://www.tunisianet.com.tn/433292-home/pc-de-bureau-gamer-lite-ryzen-3-3200g-vega-8-8-go.jpg,En stock,[LITE-340-8G],AMD,ryzen3-3200g,Unknown,4.0,6,8,ddr4,256,ssd,gb,amd,radeon-vega-8,Unknown
Pc de bureau Gamer LITE / Ryzen 3 3200G / Vega 8 / 16 Go,"619,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/83633-pc-de-bureau-gamer-lite-ryzen-3-3200g-vega-8-16-go.html,https://www.tunisianet.com.tn/417298-home/pc-de-bureau-gamer-lite-ryzen-3-3200g-vega-8-16-go.jpg,En stock,[LITE-253-16G],AMD,ryzen3-3200g,Unknown,4.0,6,16,ddr4,256,ssd,gb,amd,radeon-vega-8,Unknown
Pc de bureau Gamer LITE / Ryzen 5 3400G / Vega 11 / 16 Go,"669,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86636-pc-de-bureau-gamer-lite-ryzen-5-3400g-vega-11-16-go.html,https://www.tunisianet.com.tn/433276-home/pc-de-bureau-gamer-lite-ryzen-5-3400g-vega-11-16-go.jpg,En stock,[LITE-337-16G],AMD,ryzen5-3400g,Unknown,4.2,6,16,ddr4,256,ssd,gb,amd,radeon-vega-11,Unknown
Pc de bureau Gamer LITE / Ryzen 3 3200G / Vega 8 / 16 Go,"699,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86643-pc-de-bureau-gamer-lite-ryzen-3-3200g-vega-8-16-go.html,https://www.tunisianet.com.tn/433296-home/pc-de-bureau-gamer-lite-ryzen-3-3200g-vega-8-16-go.jpg,En stock,[LITE-340-16G],AMD,ryzen3-3200g,Unknown,4.0,6,16,ddr4,256,ssd,gb,amd,radeon-vega-8,Unknown
Pc de bureau Gamer LITE / Ryzen 3 3200G / Vega 8 / 16 Go,"729,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86644-pc-de-bureau-gamer-lite-ryzen-3-3200g-vega-8-16-go.html,https://www.tunisianet.com.tn/433298-home/pc-de-bureau-gamer-lite-ryzen-3-3200g-vega-8-16-go.jpg,En stock,[LITE-340-16G-S],AMD,ryzen3-3200g,Unknown,4.0,6,16,ddr4,512,ssd,gb,amd,radeon-vega-8,Unknown
Pc de bureau Gamer LITE / Ryzen 5 3400G / Vega 11 / 16 Go,"739,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86637-pc-de-bureau-gamer-lite-ryzen-5-3400g-vega-11-16-go.html,https://www.tunisianet.com.tn/433280-home/pc-de-bureau-gamer-lite-ryzen-5-3400g-vega-11-16-go.jpg,En stock,[LITE-338-16G],AMD,ryzen5-3400g,Unknown,4.2,6,16,ddr4,512,ssd,gb,amd,radeon-vega-11,Unknown
Pc de Bureau Gamer LITE / Ryzen 3 Pro 4350G / Vega 6 / 16 Go,"749,000 DT",https://www.tunisianet.com.tn/informatique/87410-pc-de-bureau-gamer-lite-ryzen-3-pro-4350g-vega-6-16-go.html,https://www.tunisianet.com.tn/436405-home/pc-de-bureau-gamer-lite-ryzen-3-pro-4350g-vega-6-16-go.jpg,En stock,[LITE-1-1],Unknown,Unknown,Unknown,Unknown,Unknown,16,ddr4,512,ssd,gb,amd,radeon-vega-6,Unknown
Pc de bureau Gamer LITE / Ryzen 5 3400G / Vega 11 / 16 Go,"769,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86638-pc-de-bureau-gamer-lite-ryzen-5-3400g-vega-11-16-go.html,https://www.tunisianet.com.tn/433284-home/pc-de-bureau-gamer-lite-ryzen-5-3400g-vega-11-16-go.jpg,En stock,[LITE-339-16G],AMD,ryzen5-3400g,Unknown,4.2,6,16,ddr4,512,ssd,gb,amd,radeon-vega-11,Unknown
Pc de bureau Gamer LITE / i3-10105F / GT 710 2G / 8 Go,"819,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86697-pc-de-bureau-gamer-lite-i3-10105f-gt-710-2g-8-go.html,https://www.tunisianet.com.tn/433517-home/pc-de-bureau-gamer-lite-i3-10105f-gt-710-2g-8-go.jpg,En stock,[LITE-345-8G],Intel,i3-10105f,Unknown,4.4,6,8,ddr4,256,ssd,gb,Unknown,Unknown,2
Pc de bureau Gamer LITE / Ryzen 5 3400G / Vega 11 / 32 Go,"849,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86639-pc-de-bureau-gamer-lite-ryzen-5-3400g-vega-11-32-go.html,https://www.tunisianet.com.tn/433286-home/pc-de-bureau-gamer-lite-ryzen-5-3400g-vega-11-32-go.jpg,En stock,[LITE-339-32G],AMD,ryzen5-3400g,Unknown,4.2,6,32,ddr4,512,ssd,gb,amd,radeon-vega-11,Unknown
